,0
1258,0
1259,0
1260,6
1261,4
1262,3
1263,2
1264,1
1265,3
1266,1
1267,3
1268,5
1269,3
1270,2
1271,3
1272,1
1273,4
1274,3
1275,3
1276,1
1277,4
1278,1
1279,1
1280,3
1281,2
1282,3
1283,5
1284,3
1285,4
1286,4
1287,5
1288,1
1289,0
1290,3
1291,3
1292,7
1293,1
1294,3
1295,3
1296,3
1297,1
1298,0
1299,2
1300,3
1301,2
1302,7
1303,1
1304,3
1305,0
1306,3
1307,6
1308,3
1309,7
1310,3
1311,7
1312,3
1313,3
1314,1
1315,4
1316,3
1317,3
1318,5
1319,3
1320,3
1321,3
1322,1
1323,0
1324,3
1325,6
1326,1
1327,3
1328,7
1329,2
1330,3
1331,2
1332,3
1333,7
1334,1
1335,3
1336,5
1337,1
1338,2
1339,7
1340,3
1341,1
1342,4
1343,5
1344,5
1345,7
1346,3
1347,5
