residual sugar,quality,quality
1.6,5,Poor
1.9,5,Poor
1.7,5,Poor
1.8,5,Poor
1.8,7,Good
1.8,5,Poor
2,5,Poor
2.3,5,Poor
2.3,5,Poor
1.5,6,Fair
2.2,6,Fair
1.9,5,Poor
1.8,5,Poor
2,5,Poor
2.1,5,Poor
2,5,Poor
1.9,5,Poor
1.8,5,Poor
1.8,6,Fair
1.7,5,Poor
1.8,6,Fair
1.8,5,Poor
1.8,5,Poor
1.6,5,Poor
2.3,6,Fair
2.8,6,Fair
2.1,6,Fair
3.4,4,Poor
1.8,5,Poor
1.8,5,Poor
5.5,5,Poor
5.5,5,Poor
5.5,5,Poor
5.5,5,Poor
2.2,5,Poor
1.9,6,Fair
2,5,Poor
1.3,4,Poor
1.7,6,Fair
7.3,5,Poor
7.2,5,Poor
1.7,5,Poor
2.1,5,Poor
1.6,4,Poor
2.1,6,Fair
1.8,5,Poor
1.8,4,Poor
2,6,Fair
2,6,Fair
1.9,6,Fair
2,5,Poor
1.5,5,Poor
2,5,Poor
2.3,6,Fair
2.5,5,Poor
2.4,5,Poor
2.4,5,Poor
2,5,Poor
2.5,5,Poor
1.8,5,Poor
1.9,6,Fair
2,5,Poor
2,5,Poor
2.6,5,Poor
2,5,Poor
1.9,5,Poor
2.9,5,Poor
1.9,6,Fair
3.8,5,Poor
2.2,5,Poor
2.2,5,Poor
2,5,Poor
2.4,5,Poor
2,6,Fair
1.2,7,Good
2.1,4,Poor
1.4,7,Good
2.1,5,Poor
1.5,5,Poor
1.6,5,Poor
1.6,6,Fair
2.6,7,Good
2.6,7,Good
1.8,5,Poor
2.7,5,Poor
2.1,7,Good
2,6,Fair
2.8,6,Fair
2.1,6,Fair
2.2,5,Poor
2.4,6,Fair
5.6,5,Poor
2,5,Poor
2.2,5,Poor
1.9,5,Poor
2.4,5,Poor
2,6,Fair
2,5,Poor
1.5,5,Poor
2,6,Fair
2,4,Poor
2.6,6,Fair
2,6,Fair
2.6,5,Poor
2.6,6,Fair
2.6,5,Poor
1.6,7,Good
1.8,6,Fair
2.8,6,Fair
2.6,5,Poor
2.3,6,Fair
1.9,6,Fair
1.9,6,Fair
1.9,6,Fair
1.9,6,Fair
2.3,6,Fair
1.7,5,Poor
2.1,6,Fair
1.8,6,Fair
2.2,7,Good
2.2,7,Good
2,6,Fair
1.9,5,Poor
2.3,5,Poor
1.7,6,Fair
2,6,Fair
1.6,6,Fair
1.8,6,Fair
3.1,5,Poor
1.9,5,Poor
1.8,6,Fair
3.2,5,Poor
2.2,5,Poor
2.1,5,Poor
1.8,5,Poor
2.6,7,Good
1.7,5,Poor
2,4,Poor
1.7,5,Poor
1.8,5,Poor
2.4,5,Poor
1.8,7,Good
3.3,4,Poor
3.6,8,Good
3,6,Fair
4,6,Fair
4,6,Fair
4,6,Fair
4,5,Poor
2.4,5,Poor
7,5,Poor
4,6,Fair
3,6,Fair
4,6,Fair
6.4,8,Good
5.6,7,Good
3.6,6,Fair
3.5,7,Good
3,5,Poor
5.6,7,Good
3.4,5,Poor
3.4,5,Poor
2,6,Fair
3,6,Fair
2.5,7,Good
3.3,5,Poor
2.5,7,Good
2,5,Poor
2.7,6,Fair
2.4,6,Fair
3.2,6,Fair
2.5,5,Poor
2.6,5,Poor
2,5,Poor
2.3,5,Poor
2.1,5,Poor
2.6,6,Fair
1.5,6,Fair
2.6,5,Poor
1.6,5,Poor
2.1,5,Poor
2.5,6,Fair
2.2,5,Poor
2.4,6,Fair
2.4,6,Fair
1.7,6,Fair
2.5,6,Fair
2,6,Fair
2.8,6,Fair
3,5,Poor
2.6,5,Poor
2.5,6,Fair
3.4,5,Poor
2.9,6,Fair
3.2,7,Good
2.9,6,Fair
3.2,7,Good
3.4,5,Poor
2.3,5,Poor
2.8,6,Fair
11,6,Fair
11,6,Fair
3.65,7,Good
4.5,5,Poor
2.6,6,Fair
2,5,Poor
2.9,6,Fair
2.9,6,Fair
3.2,6,Fair
2.1,5,Poor
2.5,7,Good
3.4,7,Good
1.9,6,Fair
2.8,5,Poor
3,6,Fair
2.3,7,Good
2.4,6,Fair
2.7,6,Fair
1.8,6,Fair
1.8,6,Fair
2.6,6,Fair
1.9,5,Poor
2.7,7,Good
3,6,Fair
2.8,6,Fair
2.6,6,Fair
2.7,6,Fair
2.6,6,Fair
2.4,5,Poor
4.8,5,Poor
1.4,6,Fair
2.4,6,Fair
3,5,Poor
2.95,7,Good
3.1,7,Good
2.6,6,Fair
2,5,Poor
2.6,6,Fair
2.5,5,Poor
2,5,Poor
5.8,7,Good
3.4,6,Fair
5.8,7,Good
2.6,5,Poor
2.8,5,Poor
2.4,7,Good
2.3,5,Poor
1.6,6,Fair
1.8,6,Fair
2.2,5,Poor
3.8,6,Fair
4.4,7,Good
3,6,Fair
2.4,7,Good
6.2,6,Fair
2.5,6,Fair
2,6,Fair
2.9,6,Fair
2,6,Fair
2,6,Fair
2.1,5,Poor
2.4,6,Fair
2,6,Fair
1.9,6,Fair
1.9,6,Fair
2.5,7,Good
1.4,8,Good
2.9,6,Fair
2,5,Poor
2,5,Poor
2.3,5,Poor
4.2,7,Good
7.9,5,Poor
2.6,6,Fair
2.6,6,Fair
2.3,5,Poor
7.9,5,Poor
1.7,6,Fair
2.6,6,Fair
2.7,6,Fair
2.7,5,Poor
1.4,6,Fair
2.5,6,Fair
3,7,Good
3.7,6,Fair
4.5,4,Poor
2.5,6,Fair
2.4,5,Poor
1.9,5,Poor
6.7,7,Good
2.7,5,Poor
6.6,5,Poor
2.2,6,Fair
1.9,5,Poor
2,6,Fair
1.8,5,Poor
2.4,7,Good
2.3,7,Good
2,5,Poor
2.1,7,Good
2,5,Poor
2.3,7,Good
2.1,6,Fair
1.9,6,Fair
1.3,5,Poor
2.4,6,Fair
2.1,7,Good
2.2,5,Poor
2.3,6,Fair
2.3,5,Poor
3.2,6,Fair
2.3,5,Poor
2,6,Fair
3.2,6,Fair
3.2,6,Fair
1.5,5,Poor
2.2,8,Good
2.15,6,Fair
3.7,7,Good
2.7,7,Good
1.7,7,Good
2.1,6,Fair
2.6,5,Poor
2.1,5,Poor
2,6,Fair
2.8,6,Fair
2.8,6,Fair
1.8,6,Fair
1.7,6,Fair
2.8,7,Good
1.6,5,Poor
5.2,8,Good
2.3,5,Poor
2.7,5,Poor
2.8,7,Good
2.2,3,Poor
2.3,6,Fair
2.6,5,Poor
2.55,5,Poor
2.2,5,Poor
2.1,6,Fair
2.9,5,Poor
2,6,Fair
2.6,6,Fair
2.1,6,Fair
1.2,5,Poor
2.6,5,Poor
2.4,6,Fair
2.6,6,Fair
2.1,5,Poor
1.7,6,Fair
2.2,5,Poor
2,5,Poor
1.8,6,Fair
2.2,5,Poor
2.7,6,Fair
15.5,5,Poor
2.8,8,Good
2.2,5,Poor
2.2,5,Poor
4.1,6,Fair
1.9,5,Poor
1.9,5,Poor
1.8,6,Fair
2.8,7,Good
2.6,6,Fair
2.8,6,Fair
2.5,7,Good
2.6,7,Good
3,6,Fair
8.3,6,Fair
2.6,8,Good
1.9,6,Fair
2.5,5,Poor
2.6,8,Good
3,6,Fair
1.9,6,Fair
6.55,7,Good
6.55,7,Good
1.9,7,Good
1.8,7,Good
2.9,7,Good
1.8,7,Good
2.3,6,Fair
2.2,6,Fair
2.8,7,Good
4.6,5,Poor
2.2,6,Fair
2.1,6,Fair
2.4,7,Good
2.4,7,Good
6.1,5,Poor
4.3,6,Fair
2.1,3,Poor
2.8,6,Fair
2.5,5,Poor
2.7,6,Fair
2,5,Poor
2.3,5,Poor
2.5,5,Poor
2.4,5,Poor
2.8,5,Poor
2.5,5,Poor
2.5,6,Fair
2.6,6,Fair
2.4,5,Poor
2.1,6,Fair
2.7,5,Poor
2.7,5,Poor
2.1,6,Fair
2.7,6,Fair
2.1,6,Fair
2.4,5,Poor
2.1,6,Fair
5.8,7,Good
5.15,5,Poor
3.3,5,Poor
6.3,6,Fair
2.1,5,Poor
2.5,6,Fair
1.8,6,Fair
2.6,5,Poor
2,6,Fair
2.5,6,Fair
2.6,6,Fair
1.9,6,Fair
2.1,6,Fair
2.8,6,Fair
2.7,6,Fair
1.6,5,Poor
4.2,5,Poor
4.2,5,Poor
4.6,6,Fair
4.2,5,Poor
4.6,6,Fair
4.3,6,Fair
2.8,5,Poor
2.4,5,Poor
2.9,5,Poor
2.7,6,Fair
4.3,6,Fair
2.8,5,Poor
2.5,6,Fair
2.5,6,Fair
2.6,6,Fair
2.2,6,Fair
3.3,6,Fair
2.2,6,Fair
2.4,5,Poor
2.1,4,Poor
3.2,6,Fair
3.1,6,Fair
2.3,4,Poor
2.8,5,Poor
2.9,5,Poor
2.2,6,Fair
2.2,5,Poor
2.2,5,Poor
2.2,5,Poor
1.9,7,Good
3.4,7,Good
2.4,6,Fair
2.7,7,Good
1.9,5,Poor
2,8,Good
2.6,7,Good
2.6,5,Poor
1.7,6,Fair
2.6,5,Poor
3.5,5,Poor
2.6,5,Poor
7.9,5,Poor
2,6,Fair
1.9,6,Fair
2.1,6,Fair
2.3,6,Fair
2.1,4,Poor
2.2,6,Fair
2.6,5,Poor
2.2,6,Fair
2.9,6,Fair
2.6,6,Fair
4.6,7,Good
3.3,6,Fair
5.1,6,Fair
3.2,6,Fair
2.5,5,Poor
2.7,5,Poor
2.4,6,Fair
1.5,5,Poor
2.2,6,Fair
2.3,5,Poor
2.3,5,Poor
2.2,6,Fair
2.7,5,Poor
2.3,5,Poor
3.4,5,Poor
3.4,5,Poor
1.9,5,Poor
2.9,6,Fair
5.6,5,Poor
5.6,5,Poor
2.2,5,Poor
2.2,5,Poor
2.5,6,Fair
2.3,5,Poor
2.5,6,Fair
2.7,5,Poor
3,6,Fair
3.4,4,Poor
1.9,5,Poor
1.4,5,Poor
2.4,5,Poor
2.3,5,Poor
2.2,7,Good
1.9,6,Fair
2.3,5,Poor
2.3,5,Poor
2.3,5,Poor
2.3,5,Poor
2.3,5,Poor
6,7,Good
3.6,5,Poor
2.2,4,Poor
2.8,7,Good
8.6,6,Fair
2.2,5,Poor
2.5,5,Poor
7.5,5,Poor
2.8,6,Fair
2.4,5,Poor
2.9,5,Poor
2.2,5,Poor
1.4,7,Good
1.4,6,Fair
4.4,4,Poor
1.4,6,Fair
1.6,5,Poor
1.6,6,Fair
1.8,6,Fair
2,5,Poor
2,5,Poor
1.8,6,Fair
2,6,Fair
2.3,5,Poor
2,6,Fair
2.5,5,Poor
1.7,5,Poor
2,5,Poor
1.7,5,Poor
2.2,6,Fair
2.2,5,Poor
2.2,6,Fair
2.3,5,Poor
2.6,5,Poor
3.3,5,Poor
1.9,5,Poor
2.2,6,Fair
2.25,5,Poor
2.6,5,Poor
2.3,5,Poor
2.6,5,Poor
1.8,5,Poor
3.1,5,Poor
1.6,5,Poor
1.8,5,Poor
4.25,3,Poor
2.6,5,Poor
2,5,Poor
2.8,5,Poor
2.7,5,Poor
1.3,6,Fair
2.1,6,Fair
2.1,6,Fair
3.2,5,Poor
2.1,6,Fair
2.9,6,Fair
2.1,6,Fair
2.1,6,Fair
2.6,4,Poor
1.6,4,Poor
6,5,Poor
2,5,Poor
3,5,Poor
2.5,6,Fair
1.6,6,Fair
2.8,5,Poor
3,5,Poor
3.2,5,Poor
2.3,5,Poor
2.6,5,Poor
2.7,6,Fair
2.3,5,Poor
2.6,5,Poor
2,5,Poor
3.9,5,Poor
2,5,Poor
2.85,5,Poor
2.7,5,Poor
2.2,5,Poor
3.1,4,Poor
3,5,Poor
2.8,6,Fair
1.8,5,Poor
1.8,5,Poor
3.2,6,Fair
2.3,5,Poor
3.45,5,Poor
2.1,5,Poor
2.7,5,Poor
2,5,Poor
2.1,5,Poor
2.1,5,Poor
2.5,6,Fair
2.8,5,Poor
2.4,5,Poor
4.2,6,Fair
2.6,5,Poor
1.9,5,Poor
2.8,5,Poor
2.7,5,Poor
2.1,6,Fair
2.5,6,Fair
2.6,5,Poor
2.1,6,Fair
2.1,6,Fair
2.9,5,Poor
2.9,5,Poor
2.5,5,Poor
2.9,5,Poor
1.7,6,Fair
1.9,6,Fair
2,6,Fair
2.2,5,Poor
2.2,5,Poor
2.5,5,Poor
2.8,5,Poor
2,5,Poor
1.7,6,Fair
2,5,Poor
2.8,6,Fair
3,6,Fair
2.9,5,Poor
2.7,5,Poor
2.3,6,Fair
1.9,5,Poor
2.3,6,Fair
2.4,5,Poor
2.3,5,Poor
1.8,6,Fair
1.8,6,Fair
3,5,Poor
2.4,6,Fair
2.4,6,Fair
3.4,5,Poor
2.6,5,Poor
2,6,Fair
2.4,5,Poor
2.4,5,Poor
2.4,5,Poor
2.5,5,Poor
2.3,5,Poor
2.3,5,Poor
2.2,6,Fair
2.2,6,Fair
2.9,5,Poor
2.6,6,Fair
2.9,5,Poor
2.5,6,Fair
2.6,5,Poor
2.3,6,Fair
2.6,5,Poor
2.5,5,Poor
1.6,7,Good
3.6,6,Fair
3.6,6,Fair
4,5,Poor
3.3,5,Poor
1.7,7,Good
2.5,6,Fair
2.7,6,Fair
2.4,7,Good
2,7,Good
2.4,7,Good
1.9,5,Poor
2.8,6,Fair
2.6,5,Poor
2.8,6,Fair
2.5,5,Poor
2.1,4,Poor
2.8,6,Fair
2.5,5,Poor
3.2,6,Fair
1.6,6,Fair
2.35,5,Poor
3.2,5,Poor
1.9,5,Poor
2.1,7,Good
2,5,Poor
2,5,Poor
2.8,5,Poor
2.8,5,Poor
2.3,7,Good
2.8,5,Poor
2.3,8,Good
2.1,6,Fair
2.5,4,Poor
2.1,6,Fair
1.5,3,Poor
1.6,4,Poor
1.6,5,Poor
1.5,5,Poor
2.4,7,Good
2.4,7,Good
1.6,7,Good
2.2,5,Poor
2.65,7,Good
3,5,Poor
2.6,6,Fair
2,5,Poor
1.7,6,Fair
1.8,5,Poor
1.8,5,Poor
1.8,6,Fair
1.8,5,Poor
1.6,5,Poor
1.9,5,Poor
1.9,5,Poor
2.5,5,Poor
1.5,6,Fair
1.5,6,Fair
2.5,7,Good
1.5,6,Fair
2.5,7,Good
1.7,7,Good
1.8,6,Fair
2.7,5,Poor
2,6,Fair
2.7,5,Poor
2.5,5,Poor
2.7,5,Poor
2.6,5,Poor
2.3,6,Fair
2,6,Fair
1.8,6,Fair
2,6,Fair
2.1,6,Fair
1.5,5,Poor
2,4,Poor
1.6,7,Good
2.1,7,Good
2.8,7,Good
2.2,4,Poor
2.1,6,Fair
4,6,Fair
2.5,5,Poor
1.6,5,Poor
2.1,6,Fair
3.1,6,Fair
2.5,5,Poor
4,6,Fair
2.5,5,Poor
2.4,6,Fair
2.6,7,Good
2.5,6,Fair
6.6,5,Poor
2,5,Poor
2.3,5,Poor
1.9,6,Fair
2.3,5,Poor
2.2,6,Fair
2.3,6,Fair
2.4,7,Good
2.3,6,Fair
2.4,7,Good
3.4,3,Poor
2.6,5,Poor
2.4,7,Good
2.4,7,Good
6,7,Good
6,7,Good
3,5,Poor
2.6,5,Poor
2.2,6,Fair
2.4,6,Fair
1.2,6,Fair
3.8,6,Fair
9,6,Fair
2.9,6,Fair
4.6,7,Good
1.2,6,Fair
2.2,6,Fair
1.5,5,Poor
8.8,6,Fair
2.2,6,Fair
1.8,6,Fair
2.3,5,Poor
2.2,6,Fair
1.8,6,Fair
8.8,6,Fair
2.3,5,Poor
1.9,7,Good
2.3,6,Fair
2.2,4,Poor
2.3,5,Poor
3.3,7,Good
1.9,5,Poor
2,5,Poor
1.9,6,Fair
2,5,Poor
1.9,5,Poor
2.3,6,Fair
2.3,6,Fair
1.4,4,Poor
2.8,7,Good
1.6,5,Poor
2.2,7,Good
5,7,Good
2.6,7,Good
2.3,7,Good
3.8,7,Good
2,7,Good
4.1,7,Good
2.1,7,Good
1.8,7,Good
1.8,7,Good
1.8,7,Good
2.1,7,Good
2.2,7,Good
2.1,7,Good
2.7,6,Fair
1.9,5,Poor
2.1,6,Fair
2,6,Fair
2.3,7,Good
2,5,Poor
1.9,6,Fair
1.6,5,Poor
2.1,5,Poor
2,6,Fair
1.9,6,Fair
2.4,6,Fair
2.4,7,Good
2.1,5,Poor
2.4,,Poor
2.9,5,Poor
1.9,6,Fair
1.9,6,Fair
2.4,7,Good
1.7,5,Poor
5.9,7,Good
2.1,5,Poor
2.1,5,Poor
2.6,5,Poor
3.6,7,Good
1.4,5,Poor
1.9,6,Fair
1.9,5,Poor
2.1,6,Fair
1.9,6,Fair
1.4,5,Poor
2,6,Fair
1.4,7,Good
1.6,5,Poor
1.7,5,Poor
1.5,6,Fair
1.7,5,Poor
2,5,Poor
2,6,Fair
2,5,Poor
2.5,5,Poor
2,6,Fair
2.2,7,Good
2.2,7,Good
1.4,6,Fair
1.65,6,Fair
2.2,7,Good
1.5,7,Good
2.05,7,Good
1.8,7,Good
1.6,5,Poor
1.8,7,Good
2.05,7,Good
2,7,Good
3.6,7,Good
2.8,5,Poor
1.7,7,Good
2,6,Fair
2.1,5,Poor
1.6,6,Fair
2,6,Fair
2.2,6,Fair
2.2,7,Good
0.9,6,Fair
0.9,6,Fair
1.8,5,Poor
2.4,6,Fair
2.4,6,Fair
2.1,5,Poor
2.3,6,Fair
1.8,7,Good
2.8,6,Fair
1.9,6,Fair
2.2,5,Poor
2.5,6,Fair
1.8,7,Good
2.1,7,Good
1.8,7,Good
4.1,5,Poor
2.6,6,Fair
2.5,6,Fair
2.4,7,Good
2.5,7,Good
1.8,5,Poor
6.2,7,Good
2.2,6,Fair
2.2,5,Poor
1.7,6,Fair
2.2,6,Fair
8.9,7,Good
3.3,6,Fair
1.4,6,Fair
1.7,6,Fair
1.8,5,Poor
1.7,6,Fair
1.8,6,Fair
1.8,5,Poor
1.4,5,Poor
2.4,5,Poor
2.3,7,Good
2,6,Fair
2,6,Fair
4,7,Good
3.9,5,Poor
2.4,7,Good
4,7,Good
1.8,6,Fair
1.8,8,Good
1.9,6,Fair
2.4,6,Fair
2,6,Fair
2.4,6,Fair
2.4,7,Good
2.2,7,Good
2.2,7,Good
2.8,5,Poor
1.5,7,Good
8.1,5,Poor
1.8,6,Fair
2.7,6,Fair
8.1,5,Poor
2,7,Good
2,6,Fair
6.4,5,Poor
6.4,5,Poor
8.3,7,Good
1.4,6,Fair
8.3,7,Good
1.8,6,Fair
2.4,6,Fair
1.8,6,Fair
1.8,5,Poor
4.7,7,Good
1.6,6,Fair
1.5,7,Good
1.5,7,Good
1.9,8,Good
2,6,Fair
2,6,Fair
2.2,7,Good
5.5,6,Fair
2.5,5,Poor
5.5,6,Fair
1.5,5,Poor
2.1,7,Good
1.5,5,Poor
2.1,6,Fair
2.1,6,Fair
1.7,6,Fair
2.1,6,Fair
2.2,6,Fair
2.1,5,Poor
1.9,6,Fair
2,7,Good
3.3,5,Poor
2.1,6,Fair
1.4,6,Fair
2,7,Good
1.5,6,Fair
1.6,6,Fair
4.3,6,Fair
2.5,6,Fair
2.5,6,Fair
2.5,6,Fair
2.1,6,Fair
2.5,5,Poor
2.5,8,Good
1.8,6,Fair
1.4,6,Fair
1.9,6,Fair
2.2,4,Poor
1.7,7,Good
1.7,6,Fair
2.9,6,Fair
2.7,5,Poor
3.3,6,Fair
1.9,6,Fair
1.7,5,Poor
1.8,7,Good
5.5,7,Good
1.7,7,Good
1.7,6,Fair
2,6,Fair
2,6,Fair
3.7,5,Poor
2,6,Fair
1.7,6,Fair
2.5,6,Fair
2.4,6,Fair
1.8,6,Fair
2.3,5,Poor
2.5,6,Fair
1.8,6,Fair
6.2,7,Good
2,6,Fair
2,6,Fair
2.8,7,Good
2.5,6,Fair
2.2,5,Poor
2.1,6,Fair
2.2,6,Fair
2.2,5,Poor
1.75,7,Good
2.1,7,Good
2.8,6,Fair
2.2,5,Poor
2.3,7,Good
1.4,6,Fair
2.3,7,Good
1.7,5,Poor
1.7,5,Poor
1.9,5,Poor
2,5,Poor
2.5,7,Good
2.8,6,Fair
2.3,6,Fair
1.6,6,Fair
2.2,6,Fair
2.1,6,Fair
1.7,6,Fair
1.7,6,Fair
2.2,6,Fair
5.6,4,Poor
2.4,7,Good
2.1,5,Poor
2.4,6,Fair
2.4,6,Fair
1.65,5,Poor
2.5,6,Fair
1.6,5,Poor
2.1,5,Poor
2,6,Fair
7.8,5,Poor
2,6,Fair
2.1,5,Poor
1.8,4,Poor
4.6,6,Fair
2.3,5,Poor
2.5,7,Good
2.3,5,Poor
1.8,6,Fair
1.8,6,Fair
2.3,6,Fair
1.5,6,Fair
2,6,Fair
2.3,6,Fair
1.5,6,Fair
1.9,7,Good
1.8,8,Good
5.8,5,Poor
2.1,7,Good
2.1,7,Good
2.1,7,Good
1.7,5,Poor
2.1,7,Good
2,7,Good
2.1,6,Fair
2.1,5,Poor
2.1,6,Fair
1.9,6,Fair
1.9,6,Fair
2.1,6,Fair
2,6,Fair
1.9,6,Fair
1.9,6,Fair
1.3,6,Fair
1.8,6,Fair
1.8,6,Fair
2.2,6,Fair
2.2,6,Fair
2.5,6,Fair
2.6,5,Poor
4.1,5,Poor
2,5,Poor
1.8,7,Good
2.1,5,Poor
2.7,6,Fair
2.6,5,Poor
2.1,5,Poor
2.2,4,Poor
2.2,6,Fair
12.9,4,Poor
1.7,6,Fair
2.2,6,Fair
2.5,4,Poor
4.3,4,Poor
1.7,5,Poor
2.5,5,Poor
2,6,Fair
2.4,5,Poor
13.4,6,Fair
1.8,5,Poor
1.7,5,Poor
1.8,5,Poor
2.2,6,Fair
2.3,6,Fair
2.3,6,Fair
2.2,5,Poor
1.8,5,Poor
1.4,5,Poor
1.9,5,Poor
2.4,5,Poor
1.8,5,Poor
4.8,6,Fair
2.7,6,Fair
2.7,6,Fair
1.8,5,Poor
2,4,Poor
2.5,5,Poor
2.2,4,Poor
1.8,6,Fair
2.3,6,Fair
2.3,6,Fair
2.3,6,Fair
2,6,Fair
1.8,8,Good
1.6,6,Fair
1.6,6,Fair
1.9,5,Poor
2,5,Poor
2.1,6,Fair
2.3,6,Fair
6.3,4,Poor
1.9,6,Fair
2.3,6,Fair
1.7,7,Good
1.9,6,Fair
1.9,6,Fair
2,6,Fair
2.7,6,Fair
2.3,5,Poor
1.8,5,Poor
2.5,6,Fair
2.6,5,Poor
4.5,5,Poor
4.5,5,Poor
1.9,5,Poor
2.1,6,Fair
2.4,6,Fair
1.9,4,Poor
2.1,6,Fair
4.3,5,Poor
4.3,5,Poor
2.1,6,Fair
1.4,6,Fair
2.1,3,Poor
2.15,6,Fair
2,6,Fair
2.1,6,Fair
1.8,5,Poor
2.3,5,Poor
1.9,5,Poor
2.5,5,Poor
3.9,4,Poor
2.5,5,Poor
1.4,5,Poor
1.9,5,Poor
3,6,Fair
1.9,5,Poor
2.3,6,Fair
2.4,6,Fair
2,6,Fair
1.2,6,Fair
2.2,6,Fair
2,6,Fair
1.7,6,Fair
2.6,5,Poor
1.2,6,Fair
1.8,5,Poor
1.8,7,Good
1.7,6,Fair
1.7,6,Fair
1.7,6,Fair
1.7,6,Fair
1.8,5,Poor
2.1,6,Fair
2.1,6,Fair
3.8,5,Poor
1.7,6,Fair
2.2,5,Poor
2,5,Poor
2.4,6,Fair
1.4,5,Poor
1.4,5,Poor
1.4,5,Poor
1.7,6,Fair
1.7,6,Fair
1.7,6,Fair
1.7,6,Fair
1.7,6,Fair
2.6,5,Poor
2.3,6,Fair
2.1,5,Poor
1.8,5,Poor
1.8,5,Poor
2.8,5,Poor
2,5,Poor
2.3,6,Fair
1.9,5,Poor
1.9,5,Poor
2.3,5,Poor
1.8,5,Poor
1.8,5,Poor
2.5,6,Fair
5.4,5,Poor
1.4,6,Fair
2.3,5,Poor
2.5,5,Poor
1.4,6,Fair
2,4,Poor
1.9,6,Fair
2.2,5,Poor
1.7,5,Poor
2.2,6,Fair
2.1,6,Fair
1.6,4,Poor
1.7,5,Poor
3.1,6,Fair
1.7,5,Poor
3.8,5,Poor
1.2,3,Poor
2,5,Poor
1.4,5,Poor
2.3,6,Fair
2,6,Fair
2.6,6,Fair
2.6,6,Fair
1.8,5,Poor
2.1,5,Poor
2.1,5,Poor
1.8,5,Poor
3.4,5,Poor
1.8,5,Poor
1.8,5,Poor
6.1,5,Poor
2.2,5,Poor
2.3,6,Fair
2.4,5,Poor
1.3,5,Poor
2,5,Poor
3.9,5,Poor
1.6,6,Fair
1.6,5,Poor
2,5,Poor
2.2,7,Good
2.2,6,Fair
2.1,5,Poor
2.1,5,Poor
2,6,Fair
1.7,8,Good
2.6,6,Fair
2,7,Good
5.1,6,Fair
2.1,6,Fair
2.2,7,Good
2.1,6,Fair
1.8,6,Fair
2.4,6,Fair
5.1,6,Fair
2,5,Poor
2.2,5,Poor
1.6,5,Poor
2.2,5,Poor
2.5,7,Good
1.6,5,Poor
2.2,5,Poor
1.6,5,Poor
1.6,5,Poor
2.1,6,Fair
3.9,4,Poor
1.4,6,Fair
1.4,6,Fair
1.8,6,Fair
2.5,5,Poor
1.9,5,Poor
2.2,5,Poor
1.8,5,Poor
2.1,6,Fair
1.6,6,Fair
1.8,7,Good
15.4,6,Fair
15.4,6,Fair
1.6,5,Poor
4.8,5,Poor
1.7,5,Poor
2.2,6,Fair
2,7,Good
5.2,6,Fair
1.9,5,Poor
1.75,5,Poor
2.2,6,Fair
5.2,6,Fair
1.9,5,Poor
1.9,5,Poor
1.9,5,Poor
2,8,Good
2,7,Good
2.7,7,Good
2,7,Good
1.9,5,Poor
